location,weekday,hour,event_count
Sitio San Miguel,2,0,16
Sitio San Miguel,2,1,10
Sitio San Miguel,2,2,11
Sitio San Miguel,2,3,13
Sitio San Miguel,2,4,12
Sitio San Miguel,2,5,9
Sitio San Miguel,2,6,23
Sitio San Miguel,2,7,20
Sitio San Miguel,2,8,21
Sitio San Miguel,2,9,17
Sitio San Miguel,2,10,14
Sitio San Miguel,2,11,17
Sitio San Miguel,2,12,18
Sitio San Miguel,2,13,15
Sitio San Miguel,2,14,25
Sitio San Miguel,2,15,19
Sitio San Miguel,2,16,26
Sitio San Miguel,2,17,31
Sitio San Miguel,2,18,21
Sitio San Miguel,2,19,40
Sitio San Miguel,2,20,36
Sitio San Miguel,2,21,35
Sitio San Miguel,2,22,36
Sitio San Miguel,2,23,34
Sitio San Miguel,3,0,20
Sitio San Miguel,3,1,10
Sitio San Miguel,3,2,15
Sitio San Miguel,3,3,16
Sitio San Miguel,3,4,10
Sitio San Miguel,3,5,16
Sitio San Miguel,3,6,24
Sitio San Miguel,3,7,20
Sitio San Miguel,3,8,19
Sitio San Miguel,3,9,25
Sitio San Miguel,3,10,21
Sitio San Miguel,3,11,20
Sitio San Miguel,3,12,21
Sitio San Miguel,3,13,23
Sitio San Miguel,3,14,23
Sitio San Miguel,3,15,22
Sitio San Miguel,3,16,27
Sitio San Miguel,3,17,28
Sitio San Miguel,3,18,24
Sitio San Miguel,3,19,31
Sitio San Miguel,3,20,27
Sitio San Miguel,3,21,34
Sitio San Miguel,3,22,32
Sitio San Miguel,3,23,26
Sitio San Miguel,4,0,14
Sitio San Miguel,4,1,9
Sitio San Miguel,4,2,12
Sitio San Miguel,4,3,11
Sitio San Miguel,4,4,8
Sitio San Miguel,4,5,13
Sitio San Miguel,4,6,20
Sitio San Miguel,4,7,19
Sitio San Miguel,4,8,23
Sitio San Miguel,4,9,17
Sitio San Miguel,4,10,21
Sitio San Miguel,4,11,18
Sitio San Miguel,4,12,18
Sitio San Miguel,4,13,16
Sitio San Miguel,4,14,17
Sitio San Miguel,4,15,23
Sitio San Miguel,4,16,21
Sitio San Miguel,4,17,31
Sitio San Miguel,4,18,21
Sitio San Miguel,4,19,33
Sitio San Miguel,4,20,36
Sitio San Miguel,4,21,39
Sitio San Miguel,4,22,40
Sitio San Miguel,4,23,31
Sitio San Miguel,5,0,15
Sitio San Miguel,5,1,8
Sitio San Miguel,5,2,11
Sitio San Miguel,5,3,11
Sitio San Miguel,5,4,10
Sitio San Miguel,5,5,10
Sitio San Miguel,5,6,21
Sitio San Miguel,5,7,16
Sitio San Miguel,5,8,18
Sitio San Miguel,5,9,19
Sitio San Miguel,5,10,21
Sitio San Miguel,5,11,13
Sitio San Miguel,5,12,12
Sitio San Miguel,5,13,21
Sitio San Miguel,5,14,17
Sitio San Miguel,5,15,16
Sitio San Miguel,5,16,31
Sitio San Miguel,5,17,24
Sitio San Miguel,5,18,26
Sitio San Miguel,5,19,23
Sitio San Miguel,5,20,45
Sitio San Miguel,5,21,35
Sitio San Miguel,5,22,29
Sitio San Miguel,5,23,33
Sitio San Miguel,6,0,19
Sitio San Miguel,6,1,9
Sitio San Miguel,6,2,11
