hour,count
0,261
6,201
7,190
13,178
14,171
12,169
21,162
18,161
20,156
16,156
15,154
19,154
17,152
11,147
22,144
9,143
10,143
5,142
8,142
2,137
3,137
1,136
4,135
23,42
